
2025/04/24 (06:20:35) | ===> btop++ v.1.4.0
2025/04/24 (06:20:35) | WARNING: Failed to join _runner thread on exit!

2025/04/24 (06:25:45) | ===> btop++ v.1.4.0
2025/04/24 (06:25:45) | WARNING: Failed to join _runner thread on exit!

2025/04/24 (06:49:15) | ===> btop++ v.1.4.0
2025/04/24 (06:49:15) | WARNING: Failed to join _runner thread on exit!

2025/04/24 (07:09:38) | ===> btop++ v.1.4.0
2025/04/24 (07:09:38) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (01:27:59) | ===> btop++ v.1.4.0
2025/04/25 (01:27:59) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (01:35:46) | ===> btop++ v.1.4.0
2025/04/25 (01:35:46) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (21:45:55) | ===> btop++ v.1.4.0
2025/04/25 (21:45:55) | WARNING: Failed to join _runner thread on exit!

2025/04/26 (14:40:25) | ===> btop++ v.1.4.0
2025/04/26 (14:40:25) | WARNING: Failed to join _runner thread on exit!
